Price,Close,High,Low,Open,Volume
Ticker,TGT,TGT,TGT,TGT,TGT
Date,,,,,
2022-01-03,200.70040893554688,200.98595109253571,197.94018128769528,199.93897638661716,3018000
2022-01-04,202.621337890625,203.89329252345047,200.37163200352927,200.75234171140698,3327600
2022-01-05,198.02671813964844,204.49031956536695,197.94884660513154,203.175098658127,3885800
2022-01-06,200.1812744140625,201.31478197334593,192.73125993636742,192.73125993636742,4193200
2022-01-07,199.68801879882812,201.78198119769104,198.23436418925286,199.16884889367174,3052900
2022-01-10,196.78073120117188,197.8363671795784,192.97352856639003,197.74118645355676,4858100
2022-01-11,196.89320373535156,197.89692526606717,193.8214767972865,197.36044612900727,3048900
2022-01-12,194.22813415527344,199.13423812920834,193.90798687115046,197.44695578944854,4233300
2022-01-13,195.40492248535156,196.2442397231205,193.60515011998316,194.9290189170744,3459000
2022-01-14,191.57177734375,194.08108142461927,188.96730573866455,192.45436106895517,5282600
2022-01-18,190.36904907226562,191.18240926209353,188.00685324662638,189.30476507217085,4652500
2022-01-19,193.6830291748047,197.54215902029398,190.9141535831964,191.87460874811805,4091200
2022-01-20,191.84864807128906,198.4160778397965,191.3467873164898,194.70405633678274,4307900
2022-01-21,187.98089599609375,191.13049483011608,185.35911516571724,190.36040100870255,7859300
2022-01-24,190.8622589111328,191.2516298120833,183.36897825373745,186.3714819526677,5617700
2022-01-25,185.7571258544922,189.2182239016685,184.2255994748064,188.94134292347584,4929100
2022-01-26,183.18727111816406,187.91166251802858,182.0364544430583,186.57048439572992,4207500
2022-01-27,183.59393310546875,188.04145661428672,182.9103720745771,186.31955564339853,4004300
2022-01-28,188.3443145751953,188.4481432989017,182.15760666423662,185.41968229573882,2906200
2022-01-31,190.73240661621094,190.99199154546392,187.18478992654687,187.6866506022925,4151100
2022-02-01,189.69410705566406,192.54086728600265,187.18481652343158,192.08227290047768,4117400
2022-02-02,188.29238891601562,190.43826602979763,186.3195640657087,188.85481207306998,4588500
2022-02-03,184.49383544921875,188.90674081206078,183.93141228865954,185.3850671545586,6357800
2022-02-04,185.2033233642578,186.46662977438677,182.17486301989422,185.27254689935083,3754700
2022-02-07,182.8238525390625,186.17247400143356,181.96723919069922,185.80039908204043,4402800
2022-02-08,184.2602081298828,185.7398333823652,182.27007407451927,182.64214898720726,2926600
2022-02-09,187.4530792236328,187.92032167438458,185.2120212930412,186.0253814879072,2562700
2022-02-10,185.03033447265625,188.19724297138805,184.05258306195518,185.49759019373803,3038100
2022-02-11,183.0574493408203,185.8176767800983,182.39118435819196,185.3071680545309,2852400
2022-02-14,180.47030639648438,183.0055543102255,177.9956208313545,182.7373213312881,4066700
2022-02-15,180.04446411132812,181.9041890084676,178.8452194877157,181.9041890084676,4739300
2022-02-16,180.59197998046875,181.49577289000428,177.97622099819665,179.78379355700608,3340600
2022-02-17,177.28097534179688,179.8445946370895,177.16799792795277,179.53174532666418,3865900
2022-02-18,177.61990356445312,179.56652307063135,176.8290881469188,177.73288098417532,3321700
2022-02-22,170.6329345703125,176.56835914721373,169.02523423619874,176.0904063681207,5621300
2022-02-23,165.0277099609375,171.95383472192867,164.77569874738987,171.11088008655776,4471300
2022-02-24,166.4616241455078,166.64411184121167,159.90048736515726,160.32631408889932,3917700
2022-02-25,173.1270294189453,173.37035517240164,166.26174246308918,166.42684594844528,4098500
2022-02-28,173.60499572753906,174.83030996640974,170.18972318362026,171.5106438903472,6192200
2022-03-01,190.6899871826172,197.355414931987,189.92525485008775,197.12077466869857,15776100
