Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-01-02,296.1252746582031,296.1435228475682,293.9923228046252,294.91296621198353,59151200
2020-01-03,293.88299560546875,295.0041745676097,292.68890732538284,292.74359626818324,77709700
2020-01-06,295.0041198730469,295.08615327203825,292.0143098616565,292.1328118215423,55653900
2020-01-07,294.1746826171875,294.91301114756425,293.7280191701127,294.4390032296372,40496400
2020-01-08,295.742431640625,296.9547400028766,294.1199284891358,294.3660286722624,68296000
2020-01-09,297.7478332519531,297.82077038824355,296.71781178644477,297.30119760730037,48473300
2020-01-10,296.8909912109375,298.48615024274386,296.4261352089056,298.33120751452185,53029300
2020-01-13,298.9327392578125,298.9418355342063,297.0823563543286,297.5107715003253,47086800
2020-01-14,298.4770202636719,299.54348231822837,297.9209789989077,298.49524063629786,62832800
2020-01-15,299.15155029296875,299.90809914567166,298.30384393795646,298.38587734482564,72056600
2020-01-16,301.6400451660156,301.6400451660156,300.3001103883815,300.5279902633712,54050300
2020-01-17,302.5788269042969,302.7884585291991,301.5761501633732,302.3509470912397,95846000
2020-01-21,301.9862976074219,302.7884389482875,301.5487861977557,301.62169549358066,77742400
2020-01-22,302.0227966308594,303.49035714511143,301.867853930092,302.84315842409643,48914900
2020-01-23,302.369140625,302.77933537903976,300.2635335646252,301.3755880663374,51963000
2020-01-24,299.6801452636719,303.1074662187742,298.3948999055085,303.0254328321711,87578400
2020-01-27,294.87652587890625,296.35318285602233,294.1108529210448,294.44811064824233,84062500
2020-01-28,297.9665832519531,298.84163406721996,294.9676767051918,296.298487210109,63834000
2020-01-29,297.7204895019531,299.55265256689614,297.5199541027187,299.3247726958283,53888900
2020-01-30,298.6866149902344,298.89627442765044,294.9129398382602,295.66036446661803,75491800
2020-01-31,293.2631530761719,298.2218209474655,292.35163365596884,298.06685040639036,113845600
2020-02-03,295.4416809082031,297.3011883827756,294.62131896327486,294.7398209430448,69083000
2020-02-04,299.9445495605469,300.81050405404096,298.7231169921296,299.04215432222543,62573200
2020-02-05,303.4083557128906,303.6180152040548,301.4121536768775,302.8705625667215,65951100
2020-02-06,304.42926025390625,304.62067153969036,303.35364621707834,304.3654472195234,50359700
2020-02-07,302.80670166015625,304.4383010658972,302.2597845544811,303.37183913632214,64139400
2020-02-10,305.0673522949219,305.13116533874893,301.88615800893024,301.9226265793127,42070000
2020-02-11,305.59600830078125,307.20026355708615,305.0673114617923,306.41637021168424,54864500
2020-02-12,307.5648193359375,307.77445094789596,306.66239641614675,307.0269985310537,43992700
2020-02-13,307.2366638183594,308.2028719590965,305.86938499837,306.14282963542433,54501900
2020-02-14,307.7288818359375,307.84738378054004,306.4527605428289,307.646848447526,64582200
2020-02-18,306.93585205078125,307.79268227342084,305.5503251457351,306.7353167259644,57226200
2020-02-19,308.4034423828125,309.07795777585227,307.61954912250815,307.90211788539574,48814700
2020-02-20,307.136474609375,308.67694462905206,304.1557883522253,307.85655491074664,74163400
2020-02-21,303.9734802246094,306.09730805211063,303.1530905628107,305.78739481387316,113788200
2020-02-24,293.8920593261719,304.0463696689848,292.8164454315438,294.5483543223174,161088400
2020-02-25,284.9865417480469,295.8883062471929,284.11149089171784,295.2776038121276,218913200
2020-02-26,283.93829345703125,289.9634233462724,283.2090890630601,286.3811587759355,194773800
2020-02-27,271.1860656738281,283.99289834255785,271.1860656738281,278.4326260777627,284353500
2020-02-28,270.0467834472656,271.5325647241753,260.2752930240666,263.15569806188904,384975800
2020-03-02,281.741455078125,281.80526809577424,268.40592525729664,271.8241221224841,238703600
2020-03-03,273.6745300292969,286.07119736155244,271.24078921564694,282.11520716459734,300139100
2020-03-04,285.17791748046875,285.3967010302959,276.4911395839047,279.0342862432625,176613400
2020-03-05,275.69818115234375,281.17642226819964,273.4649750598973,277.99522810355086,186366800
2020-03-06,271.1405334472656,272.3437456449538,264.5502664620457,267.2118873410211,228667200
2020-03-09,249.96588134765625,259.04460337858615,249.25489759494525,250.94118559875375,309417300
2020-03-10,262.9004211425781,262.99155082298614,249.30054030564344,259.45487913879975,276444100
2020-03-11,250.08438110351562,256.9937118509954,246.91231225876595,255.8634370044622,255316300
2020-03-12,226.15704345703125,243.0657284595874,225.76508294392715,233.34892983989002,392220700
2020-03-13,245.49044799804688,247.45933353297968,226.5308388762867,239.81167127714295,329566100
2020-03-16,218.62791442871094,234.16930770515287,216.3582263151674,219.84022288446778,297240000
2020-03-17,230.43209838867188,233.50392810842425,216.09390266325667,223.35869921057358,262070500
2020-03-18,218.76466369628906,226.39407689191867,207.84466479454713,215.34646582603455,327597100
2020-03-19,219.2294921875,225.49163896080339,211.67300364288351,218.0809829271714,289322000
2020-03-20,209.7820281982422,224.14952799674725,209.50696155565487,222.3707795638826,347158800
2020-03-23,204.4182586669922,210.58885308857097,200.1180920586079,209.22271174158334,326025200
2020-03-24,222.93919372558594,223.81024024329707,214.3663807599711,214.93484144271505,235494500
2020-03-25,226.27664184570312,235.04201992086357,219.82181757105965,224.5162352253458,299430300
2020-03-26,239.48890686035156,240.9558914934752,228.34881392408727,228.77974835482536,257632800
2020-03-27,232.3555450439453,239.13128235143066,230.18254563117415,232.21801874837786,224341200
2020-03-30,239.90151977539062,240.61668467866326,232.45646258210547,234.44608945305336,171369500
2020-03-31,236.32565307617188,241.4418275508448,234.92282878626662,238.90208181788717,194881100
2020-04-01,225.68983459472656,236.24312431481496,223.62685616519354,227.36772539626958,189554600
2020-04-02,230.89776611328125,231.67710529382802,224.25955349816576,224.8096867942336,177660400
2020-04-03,227.560302734375,232.2638985790031,224.83716977069236,229.9166755402143,135561200
2020-04-06,242.8446502685547,244.80678550079665,227.5419457283824,236.40816732964865,188061200
2020-04-07,243.09225463867188,252.16935565660157,242.87221252313967,251.41750778727922,201427200
2020-04-08,251.25247192382812,253.05872554058368,243.202271556666,245.68700700539043,153774500
2020-04-09,255.07586669921875,257.8265049685233,252.5727758010134,254.50737795290667,189999200
2020-04-13,252.7470703125,254.4433034131023,248.8503314510118,254.10406238917162,114839100
2020-04-14,260.20123291015625,261.2189556921162,252.60947200950213,257.6248038351175,134143400
2020-04-15,254.6724090576172,260.3387165438089,252.5635698315606,254.4981997482188,121775000
2020-04-16,255.9010467529297,256.75373788155946,252.83867290726175,255.94687953066466,131798300
2020-04-17,262.81427001953125,263.4193856745287,258.9266831445482,261.65899326176117,146684800
2020-04-20,258.1839904785156,262.95177313986176,257.96394844153764,259.1191971166025,100109300
2020-04-21,250.34483337402344,254.9292317321277,249.40959820116407,253.72812160078013,126385700
2020-04-22,255.9010467529297,257.64311202094046,253.89307862361522,255.21338720127235,92951600
2020-04-23,255.88272094726562,260.33876990913046,255.58016302104355,257.1755244120986,104709700
2020-04-24,259.4493103027344,260.1186421969253,255.35085912854342,257.3955098331214,85063200
2020-04-27,263.1901550292969,264.30874873794517,260.96214535761493,261.4205849434391,77896600
2020-04-28,261.97998046875,267.17867138306195,261.67739457497856,266.8302527082662,105270000
2020-04-29,268.8381652832031,270.36936598916276,266.27091449702925,267.2978148114988,118745600
2020-04-30,266.3350830078125,268.9390166066362,264.6021678699744,267.4628265283742,122901700
2020-05-01,259.28424072265625,266.500074545607,258.1197863928959,261.5947659120055,125180000
2020-05-04,259.9994812011719,260.30203907180845,255.92853469244014,257.4046969992286,80873200
2020-05-05,262.40167236328125,265.2073206037957,260.12780177122573,262.8142792143297,79569900
2020-05-06,260.6229553222656,264.4830095523587,260.192020908388,264.09793589455825,73632600
2020-05-07,263.7677917480469,265.6932435927499,263.26351939914133,263.8319800050877,75250400
2020-05-08,268.1322326660156,268.5998501465137,265.76666797978606,266.89443979354115,76452400
2020-05-11,268.18719482421875,269.56251377203523,265.7849755389823,266.2067321816507,79514200
2020-05-12,262.841796875,269.78255179515514,262.7042425975372,269.36997290557235,95870800
2020-05-13,258.1931457519531,263.3184962773055,255.77257163214736,262.28241847515807,144721100
2020-05-14,261.28314208984375,261.4114906647709,250.29891603317049,255.76353778728304,121977900
2020-05-15,262.48419189453125,262.53002466488874,257.95480613821377,258.89919065123917,111146300
2020-05-18,270.47943115234375,272.0839701507051,268.3706196611589,268.6915050760796,119703800
2020-05-19,267.7012023925781,271.58876097438247,267.68287488299757,269.8833792126806,95189300
2020-05-20,272.2490234375,273.11089240666524,271.0020807473539,271.2313006225374,85861700
2020-05-21,270.3693542480469,272.9274551573874,269.2782657160711,272.1205969507901,78293900
2020-05-22,270.88287353515625,271.05708287336876,268.84739998740986,270.0851928712047,63958200
2020-05-26,274.2202453613281,277.07175449936034,270.90114681308035,276.83335693039163,88951400
2020-05-27,278.3003845214844,278.3370675296901,272.19396476879547,277.007581296367,104817400
2020-05-28,277.7868957519531,281.33521382254526,277.11756385460404,279.3272461114309,90405200
2020-05-29,279.0246887207031,279.6114768667384,274.57781894297864,277.3192788350179,119090800
2020-06-01,280.1524353027344,280.75757894742645,277.8694149921172,278.3828651183529,55758300
2020-06-02,282.4721374511719,282.5179982006775,279.73985528660774,281.069313365472,74267200
2020-06-03,286.2313537597656,287.1849160018017,284.17755322085765,284.4526057998422,92567600
2020-06-04,285.4795227050781,286.98321817364206,283.3890390401753,285.2503028822557,75794400
2020-06-05,292.7962341308594,294.56580447547407,290.79744395981476,290.86163222663976,150524700
2020-06-08,296.3354187011719,296.52795553104175,293.0621526886974,293.60310815038525,73641200
2020-06-09,294.12567138671875,296.4086915242657,292.81451293214826,293.6763815746221,77479200
2020-06-10,292.4844970703125,295.59273133209695,291.76933233464445,294.7033572907335,95000800
2020-06-11,275.623046875,286.2038408309795,275.0729417317749,285.57119193533765,209243600
2020-06-12,278.923828125,283.3890255846192,273.78014897594073,282.6188503742168,194678900
2020-06-15,281.5277404785156,282.6555119408555,272.07471838959447,273.24832261847223,135782700
2020-06-16,286.9465026855469,289.40376017355715,282.09623192993956,289.2570561458452,137627500
2020-06-17,285.7546081542969,288.25769873534205,285.0210879201945,287.96429064170104,83398900
2020-06-18,285.8646240234375,286.34139118127837,283.78331810749904,284.2417577526698,80828700
2020-06-19,284.23095703125,289.5169952642536,282.2878135586834,289.323611161699,135549600
2020-06-22,286.0542907714844,286.4502770307113,282.4903582303145,283.6322825514577,74649400
2020-06-23,287.3712158203125,289.6274664668477,286.96601139314646,288.69733429029844,68471200
2020-06-24,280.040771484375,285.95305250280444,278.20816137818287,285.3360276763805,132813500
2020-06-25,283.0429992675781,283.31007226818923,277.4530430466422,279.469847494696,89468000
2020-06-26,276.32025146484375,282.1588713157659,275.7400992165521,281.9470509652658,127961000
